CHEV|ASTRO|LC|1993|0|1993
DAIH|ATRAI|LC|2010|0|2010
DAIH|ATRAI|LC|2011|0|2011
DAIH|ATRAI|LC|2012|0|2012
DAIH|ATRAI|LC|2013|0|2013
DAIH|ATRAI|LC|2014|0|2014
DAIH|BEGO|LC|2006|0|2006
DAIH|COO|PS|2006|5|May 2006
DAIH|COO|PS|2011|12|Dec 2011
DAIH|HI-JET|LC|1999|0|1999
DAIH|HI-JET|LC|2015|0|2015
DAIH|HI-JET|LC|2016|0|2016
DAIH|HI-JET|LC|2017|0|2017
DAIH|HI-JET|LC|2018|0|2018
DAIH|HI-JET|LC|2019|0|2019
DATS|PICKUP|LC|1970|0|1970
DATS|PICKUP|LC|1984|0|1984
DATS|PICKUP|LC|1986|0|1986
FERR|512TR|PS|1992|10|Oct 1992
FORD|FREDA|LC|1996|0|1996
HOND|ACCORD|PS|1996|0|1996
HOND|BEAT|PS|1991|0|1991
HOND|BEAT|PS|1995|0|1995
HOND|CITY|PS|1991|0|1991
HOND|CITY|PS|1992|0|1992
HOND|CITY|PS|1993|0|1993
HOND|CIVIC|PS|2001|0|2001
HOND|CIVIC|PS|2002|0|2002
HOND|CIVIC|PS|2003|0|2003
HOND|CIVIC|PS|2004|0|2004
HOND|CIVIC|PS|2005|0|2005
HOND|CIVIC|PS|2007|0|2007
HOND|CIVIC|PS|2008|0|2008
HOND|CIVIC|PS|2009|1|Jan 2009
HOND|CRX|PS|1985|0|1985
HOND|CRX|PS|1986|0|1986
HOND|LEGEND|PS|1989|0|1989
HOND|MOBILIO|PS|2003|0|2003
HOND|PRELUDE|PS|1994|0|1994
HOND|S660|PS|2015|0|2015
HOND|S660|PS|2016|0|2016
HOND|S660|PS|2017|0|2017
HOND|TORNEO|PS|1997|0|1997
HOND|VEZEL|LC|2014|0|2014
INFI|FX50|LC|2008|0|2008
INFI|FX50|LC|2009|0|2009
INFI|FX50|LC|2010|0|2010
INFI|FX50|LC|2011|6|Jun 2011
INFI|FX50|LC|2012|3|Mar 2012
ISUZ|GEMINI|PS|1979|0|1979
ISUZ|GEMINI|PS|1990|0|1990
ISUZ|GEMINI|PS|1991|0|1991
ISUZ|GEMINI|PS|1992|0|1992
ISUZ|GEMINI|PS|1993|0|1993
ISUZ|MU|LC|1990|0|1990
ISUZ|MU|LC|1991|0|1991
ISUZ|MU|LC|1992|0|1992
ISUZ|MU|LC|1993|0|1993
ISUZ|MU|LC|1994|0|1994
ISUZ|MU|LC|1995|0|1995
ISUZ|MU|LC|1996|0|1996
ISUZ|PIAZZA|PS|1990|0|1990
ISUZ|PIAZZA|PS|1991|0|1991
ISUZ|PIAZZA|PS|1992|0|1992
ISUZ|PIAZZA|PS|1993|0|1993
ISUZ|VEHICRO|LC|1997|0|1997
ISUZ|VEHICRO|LC|1999|0|1999
LEXU|HS|PS|2009|0|2009
LEXU|HS|PS|2010|0|2010
LEXU|RX|LC|1998|0|1998
LEXU|RX|LC|1999|0|1999
LEXU|RX|LC|2000|0|2000
LEXU|RX|LC|2001|0|2001
LEXU|RX|LC|2002|0|2002
LEXU|RX|LC|2003|0|2003
LEXU|SC|PS|1991|0|1991
LEXU|SC|PS|1994|0|1994
LEXU|SC|PS|1996|0|1996
MAZD|323|PS|1994|0|1994
MAZD|626|PS|1989|0|1989
MAZD|929|PS|1987|0|1987
MAZD|929|PS|1988|0|1988
MAZD|929|PS|1989|0|1989
MAZD|929|PS|1990|0|1990
MAZD|929|PS|1991|0|1991
MAZD|ATENZA|PS|2003|0|2003
MAZD|AXELA|PS|2013|0|2013
MAZD|AXELA|PS|2014|0|2014
MAZD|BONGO|LC|1991|0|1991
MAZD|BONGO|LC|1992|0|1992
MAZD|BONGO|LC|1993|0|1993
MAZD|BONGO|LC|1994|0|1994
MAZD|BONGO|LC|1995|0|1995
MAZD|BONGO|LC|1996|0|1996
MAZD|BONGO|LC|1997|0|1997
MAZD|BONGO|LC|1998|0|1998
MAZD|BONGO|LC|1999|0|1999
MAZD|BONGO|LC|2000|0|2000
MAZD|BONGO|LC|2001|0|2001
MAZD|CAPELLA|PS|1990|0|1990
MAZD|CAPELLA|PS|1991|0|1991
MAZD|CAPELLA|PS|1992|0|1992
MAZD|CAPELLA|PS|1993|0|1993
MAZD|CAPELLA|PS|1994|0|1994
MAZD|CAPELLA|PS|1995|0|1995
MAZD|COSMO|PS|1990|0|1990
MAZD|COSMO|PS|1991|0|1991
MAZD|COSMO|PS|1992|0|1992
MAZD|COSMO|PS|1993|0|1993
MAZD|COSMO|PS|1994|0|1994
MAZD|COSMO|PS|1995|0|1995
MAZD|FAMILIA|PS|1985|0|1985
MAZD|FAMILIA|PS|1986|0|1986
MAZD|FAMILIA|PS|1987|0|1987
MAZD|FAMILIA|PS|1988|0|1988
MAZD|FAMILIA|PS|1989|0|1989
MAZD|FAMILIA|PS|1990|0|1990
MAZD|FAMILIA|PS|1991|0|1991
MAZD|FAMILIA|PS|1992|0|1992
MAZD|FAMILIA|PS|1993|0|1993
MAZD|FAMILIA|PS|1996|0|1996
MAZD|FAMILIA|PS|1997|0|1997
MAZD|FAMILIA|PS|1998|0|1998
MAZD|FAMILIA|PS|1999|0|1999
MAZD|LUCE|PS|1979|10|Oct 1979
MAZD|LUCE|PS|1980|0|1980
MAZD|LUCE|PS|1984|0|1984
MAZD|LUCE|PS|1985|0|1985
MAZD|MX5|PS|1989|10|Oct 1989
MAZD|MX5|PS|1990|0|1990
MAZD|RX7|PS|1988|0|1988
MAZD|RX7|PS|1989|0|1989
MAZD|RX7|PS|1990|0|1990
MAZD|RX7|PS|1994|0|1994
MAZD|RX7|PS|1995|0|1995
MAZD|RX7|PS|1996|0|1996
MAZD|RX7|PS|1997|0|1997
MAZD|RX7|PS|1998|0|1998
MAZD|RX7|PS|1999|0|1999
MAZD|RX7|PS|2000|0|2000
MAZD|RX7|PS|2001|0|2001
MAZD|RX7|PS|2002|0|2002
MITS|AIRTEK|LC|2002|0|2002
MITS|AIRTEK|LC|2003|0|2003
MITS|AIRTEK|LC|2004|0|2004
MITS|AIRTEK|LC|2005|0|2005
MITS|BRAVO|LC|1994|0|1994
MITS|DELICA|LC|1989|0|1989
MITS|DELICA|LC|1990|0|1990
MITS|DELICA|LC|1991|0|1991
MITS|DELICA|LC|1992|0|1992
MITS|DELICA|LC|1993|0|1993
MITS|DELICA|LC|1994|0|1994
MITS|DELICA|LC|1995|0|1995
MITS|DELICA|LC|1996|0|1996
MITS|DELICA|LC|1997|0|1997
MITS|DELICA|LC|1998|0|1998
MITS|DELICA|LC|1999|0|1999
MITS|DELICA|LC|2000|0|2000
MITS|DELICA|LC|2001|0|2001
MITS|DELICA|LC|2002|0|2002
MITS|DELICA|LC|2003|0|2003
MITS|DELICA|LC|2004|0|2004
MITS|DELICA|LC|2005|0|2005
MITS|DELICA|LC|2006|0|2006
MITS|DELICA|LC|2007|0|2007
MITS|DELICA|LC|2008|0|2008
MITS|FTO|PS|1994|0|1994
MITS|FTO|PS|1995|0|1995
MITS|FTO|PS|1996|0|1996
MITS|FTO|PS|1997|0|1997
MITS|FTO|PS|1998|0|1998
MITS|FTO|PS|1999|0|1999
MITS|FTO|PS|2000|0|2000
MITS|FTO|PS|2001|0|2001
MITS|GALANT|PS|1996|0|1996
MITS|GALANT|PS|1997|0|1997
MITS|GALANT|PS|1998|0|1998
MITS|GALANT|PS|1999|0|1999
MITS|GALANT|PS|2000|0|2000
MITS|GALANT|PS|2001|0|2001
MITS|GALANT|PS|2002|0|2002
MITS|GALANT|PS|2003|0|2003
MITS|GTO|PS|1990|0|1990
MITS|GTO|PS|1991|0|1991
MITS|GTO|PS|1992|0|1992
MITS|GTO|PS|1993|0|1993
MITS|GTO|PS|1994|0|1994
MITS|GTO|PS|1995|0|1995
MITS|GTO|PS|1996|0|1996
MITS|GTO|PS|1997|0|1997
MITS|GTO|PS|1998|0|1998
MITS|GTO|PS|1998|8|Aug 1998
MITS|GTO|PS|1999|0|1999
MITS|GTO|PS|2000|0|2000
MITS|I-CAR|PS|2005|12|Dec 2005
MITS|I-CAR|PS|2006|0|2006
MITS|I-CAR|PS|2007|0|2007
MITS|I-CAR|PS|2008|0|2008
MITS|I-CAR|PS|2009|0|2009
MITS|I-CAR|PS|2010|0|2010
MITS|LANCER|PS|1992|10|Oct 1992
MITS|LANCER|PS|1993|0|1993
MITS|LANCER|PS|1994|0|1994
MITS|LANCER|PS|1995|0|1995
MITS|LANCER|PS|1996|0|1996
MITS|LANCER|PS|1996|6|Jun 1996
MITS|LANCER|PS|1997|0|1997
MITS|LANCER|PS|1998|0|1998
MITS|LANCER|PS|1999|0|1999
MITS|LANCER|PS|1999|8|Aug 1999
MITS|LANCER|PS|2000|0|2000
MITS|LANCER|PS|2001|0|2001
MITS|LANCER|PS|2002|0|2002
MITS|LANCER|PS|2003|0|2003
MITS|LANCER|PS|2004|0|2004
MITS|LANCER|PS|2005|8|Aug 2005
MITS|LEGNUM|PS|1996|0|1996
MITS|LEGNUM|PS|1997|0|1997
MITS|LEGNUM|PS|1998|0|1998
MITS|LEGNUM|PS|1999|0|1999
MITS|LEGNUM|PS|2000|0|2000
MITS|LEGNUM|PS|2001|0|2001
MITS|LEGNUM|PS|2002|0|2002
MITS|PAJERO|LC|1987|0|1987
MITS|PAJERO|LC|1988|9|Sep 1988
MITS|PAJERO|LC|1990|0|1990
MITS|PAJERO|LC|1991|5|May 1991
MITS|PAJERO|LC|1992|0|1992
MITS|PAJERO|LC|1993|0|1993
MITS|PAJERO|LC|1994|0|1994
MITS|PAJERO|LC|1995|0|1995
MITS|RVR|LC|1991|0|1991
MITS|RVR|LC|1992|0|1992
MITS|RVR|LC|1993|0|1993
MITS|RVR|LC|1994|0|1994
MITS|RVR|LC|1995|0|1995
MITS|RVR|LC|1996|0|1996
MITS|RVR|LC|1997|0|1997
MORG|PLUS 8|PS|1980|0|1980
NISS|180SX|PS|1988|0|1988
NISS|180SX|PS|1989|0|1989
NISS|180SX|PS|1990|0|1990
NISS|180SX|PS|1991|0|1991
NISS|180SX|PS|1992|0|1992
NISS|180SX|PS|1993|0|1993
NISS|180SX|PS|1994|0|1994
NISS|180SX|PS|1995|0|1995
NISS|180SX|PS|1996|0|1996
NISS|180SX|PS|1997|0|1997
NISS|180SX|PS|1998|0|1998
NISS|200ZR|PS|1987|0|1987
NISS|200ZR|PS|1988|0|1988
NISS|300ZX|PS|1989|0|1989
NISS|300ZX|PS|1989|12|Dec 1989
NISS|300ZX|PS|1990|0|1990
NISS|300ZX|PS|1991|0|1991
NISS|300ZX|PS|1992|0|1992
NISS|300ZX|PS|1993|0|1993
NISS|300ZX|PS|1994|0|1994
NISS|300ZX|PS|1995|0|1995
NISS|300ZX|PS|1997|0|1997
NISS|BLUEBIR|PS|1986|0|1986
NISS|BLUEBIR|PS|1988|0|1988
NISS|BLUEBIR|PS|1989|0|1989
NISS|BLUEBIR|PS|1990|0|1990
NISS|BLUEBIR|PS|1990|7|Jul 1990
NISS|BLUEBIR|PS|1991|0|1991
NISS|BLUEBIR|PS|1992|0|1992
NISS|BLUEBIR|PS|1993|0|1993
NISS|BLUEBIR|PS|1994|0|1994
NISS|CARAVAN|LC|2004|0|2004
NISS|CARAVAN|LC|2007|0|2007
NISS|CEDRIC|PS|1994|0|1994
NISS|CEDRIC|PS|1999|0|1999
NISS|CEDRIC|PS|2000|0|2000
NISS|CEFIRO|PS|1988|0|1988
NISS|CEFIRO|PS|1989|0|1989
NISS|CEFIRO|PS|1990|0|1990
NISS|CEFIRO|PS|1991|0|1991
NISS|CEFIRO|PS|1992|0|1992
NISS|CEFIRO|PS|1993|0|1993
NISS|CEFIRO|PS|1997|0|1997
NISS|CIMA|PS|1988|0|1988
NISS|CIMA|PS|1989|0|1989
NISS|CIMA|PS|2001|0|2001
NISS|CIMA|PS|2002|0|2002
NISS|CIMA|PS|2003|0|2003
NISS|CIMA|PS|2004|0|2004
NISS|CIMA|PS|2005|0|2005
NISS|CIMA|PS|2006|0|2006
NISS|CUBE|PS|2002|0|2002
NISS|CUBE|PS|2003|0|2003
NISS|CUBE|PS|2004|0|2004
NISS|CUBE|PS|2005|0|2005
NISS|CUBE|PS|2006|0|2006
NISS|CUBE|PS|2007|0|2007
NISS|CUBE|PS|2008|0|2008
NISS|ELGRAND|LC|1997|0|1997
NISS|ELGRAND|LC|1998|0|1998
NISS|ELGRAND|LC|1999|0|1999
NISS|ELGRAND|LC|2000|0|2000
NISS|ELGRAND|LC|2001|0|2001
NISS|ELGRAND|LC|2002|0|2002
NISS|ELGRAND|LC|2002|7|Jul 2002
NISS|ELGRAND|LC|2003|0|2003
NISS|ELGRAND|LC|2004|0|2004
NISS|ELGRAND|LC|2005|0|2005
NISS|ELGRAND|LC|2006|0|2006
NISS|ELGRAND|LC|2007|0|2007
NISS|ELGRAND|LC|2008|0|2008
NISS|ELGRAND|LC|2009|0|2009
NISS|ELGRAND|LC|2010|0|2010
NISS|ELGRAND|LC|2011|0|2011
NISS|ELGRAND|LC|2012|0|2012
NISS|ELGRAND|LC|2013|0|2013
NISS|FAIRLDZ|PS|1989|0|1989
NISS|FAIRLDZ|PS|1991|0|1991
NISS|FAIRLDZ|PS|1992|0|1992
NISS|FAIRLDZ|PS|1995|0|1995
NISS|FIGARO|PS|1991|2|Feb 1991
NISS|FUGA450|PS|2005|0|2005
NISS|FUGA450|PS|2006|0|2006
NISS|FUGA450|PS|2014|0|2014
NISS|GLORIA|PS|2000|0|2000
NISS|GLORIA|PS|2002|0|2002
NISS|GLORIA|PS|2003|0|2003
NISS|GT-R|PS|2008|0|2008
NISS|HOMY|LC|1986|0|1986
NISS|LARGO|LC|1990|0|1990
NISS|LARGO|LC|1991|0|1991
NISS|LARGO|LC|1992|0|1992
NISS|LAUREL|PS|1999|0|1999
NISS|MAXIMA|PS|1986|0|1986
NISS|MAXIMA|PS|1987|0|1987
NISS|MAXIMA|PS|1988|0|1988
NISS|MAXIMA|PS|1989|0|1989
NISS|MAXIMA|PS|1990|0|1990
NISS|PAO|PS|1989|0|1989
NISS|PAO|PS|1990|0|1990
NISS|PAO|PS|1991|0|1991
NISS|PRESEA|PS|1991|0|1991
NISS|PRESIDE|PS|1983|0|1983
NISS|PRESIDE|PS|1984|0|1984
NISS|PRESIDE|PS|1990|0|1990
NISS|PRESIDE|PS|1992|0|1992
NISS|PRIMERA|PS|1995|0|1995
NISS|PRIMERA|PS|2001|0|2001
NISS|PULSAR|PS|1990|0|1990
NISS|PULSAR|PS|1991|0|1991
NISS|PULSAR|PS|1992|0|1992
NISS|PULSAR|PS|1993|0|1993
NISS|PULSAR|PS|1994|0|1994
NISS|PULSAR|PS|1997|0|1997
NISS|PULSAR|PS|1998|0|1998
NISS|SAFARI|LC|1988|0|1988
NISS|SAFARI|LC|1989|0|1989
NISS|SAFARI|LC|1992|0|1992
NISS|SCARGO|LC|1989|0|1989
NISS|SCARGO|LC|1990|0|1990
