Year,Transaction Type,Make Name,Model Name,Body Shape Name,Transactions
2021,Registration New Business,ABARTH,124 SPIDER,ROADSTER,2
2021,Registration New Business,ABARTH,500,HATCHBACK,1
2021,Registration New Business,ABARTH,595,HATCHBACK,1
2021,Registration New Business,ALFA ROMEO,147,HATCHBACK,13
2021,Registration New Business,ALFA ROMEO,156,SEDAN,15
2021,Registration New Business,ALFA ROMEO,159,SEDAN,15
2021,Registration New Business,ALFA ROMEO,159,WAGON,1
2021,Registration New Business,ALFA ROMEO,164,SEDAN,1
2021,Registration New Business,ALFA ROMEO,166,SEDAN,1
2021,Registration New Business,ALFA ROMEO,2000,SEDAN,1
2021,Registration New Business,ALFA ROMEO,33,HATCHBACK,1
2021,Registration New Business,ALFA ROMEO,4C,COUPE,2
2021,Registration New Business,ALFA ROMEO,BERLINA,SEDAN,1
2021,Registration New Business,ALFA ROMEO,BRERA,HATCHBACK,1
2021,Registration New Business,ALFA ROMEO,GIULIA,SEDAN,16
2021,Registration New Business,ALFA ROMEO,GIULIETTA,HATCHBACK,36
2021,Registration New Business,ALFA ROMEO,GIULIETTA,SEDAN,2
2021,Registration New Business,ALFA ROMEO,GT SERIES,COUPE,6
2021,Registration New Business,ALFA ROMEO,GT SERIES,SEDAN,1
2021,Registration New Business,ALFA ROMEO,GTV SERIES,COUPE,4
2021,Registration New Business,ALFA ROMEO,GTV SERIES,HATCHBACK,1
2021,Registration New Business,ALFA ROMEO,MITO,HATCHBACK,7
2021,Registration New Business,ALFA ROMEO,SPIDER,CONVERTIBLE,6
2021,Registration New Business,ALFA ROMEO,SPIDER,COUPE,2
2021,Registration New Business,ALFA ROMEO,SPIDER,ROADSTER,3
2021,Registration New Business,ALFA ROMEO,STELVIO,WAGON,8
2021,Registration New Business,ALPINE,ATM OVER 1.02T,CAMPER TRAILER,2
2021,Registration New Business,ALPINE,ATM UP TO 1.02T,BOX TRAILER,1
2021,Registration New Business,ARMSTRONG SIDDELEY,15HP,TOURER,1
2021,Registration New Business,ARMSTRONG SIDDELEY,SAPPHIRE,SEDAN,1
2021,Registration New Business,ASIA MOTORS,SPRINTER,TRUK BASED MOTORHOME,1
2021,Registration New Business,ASTON MARTIN,DB11,COUPE,1
2021,Registration New Business,ASTON MARTIN,DB7,CONVERTIBLE,1
2021,Registration New Business,ASTON MARTIN,DB7,COUPE,1
2021,Registration New Business,ASTON MARTIN,DB7GT,COUPE,1
2021,Registration New Business,ASTON MARTIN,DB9,COUPE,3
2021,Registration New Business,ASTON MARTIN,DBS,COUPE,1
2021,Registration New Business,ASTON MARTIN,DBX,WAGON,11
2021,Registration New Business,ASTON MARTIN,RAPIDE,HATCHBACK,1
2021,Registration New Business,ASTON MARTIN,V12 VANQUISH,CONVERTIBLE,1
2021,Registration New Business,ASTON MARTIN,V12 VANTAGE,COUPE,1
2021,Registration New Business,ASTON MARTIN,V8 VANTAGE,COUPE,10
2021,Registration New Business,ASTON MARTIN,V8 VANTAGE,ROADSTER,1
2021,Registration New Business,ASTON MARTIN,VANTAGE,CONVERTIBLE,1
2021,Registration New Business,ASTON MARTIN,VANTAGE,COUPE,1
2021,Registration New Business,AUDI,80,SEDAN,2
2021,Registration New Business,AUDI,A1,HATCHBACK,118
2021,Registration New Business,AUDI,A1,SEDAN,5
2021,Registration New Business,AUDI,A3,CONVERTIBLE,19
2021,Registration New Business,AUDI,A3,HATCHBACK,137
2021,Registration New Business,AUDI,A3,SEDAN,79
2021,Registration New Business,AUDI,A3,WAGON,3
2021,Registration New Business,AUDI,A4,CONVERTIBLE,4
2021,Registration New Business,AUDI,A4,SEDAN,298
2021,Registration New Business,AUDI,A4,WAGON,49
2021,Registration New Business,AUDI,A4 ALLROAD,WAGON,2
2021,Registration New Business,AUDI,A4 AVANT,WAGON,3
2021,Registration New Business,AUDI,A4-B7,SEDAN,4
2021,Registration New Business,AUDI,A5,CONVERTIBLE,15
2021,Registration New Business,AUDI,A5,COUPE,50
2021,Registration New Business,AUDI,A5,HATCHBACK,48
2021,Registration New Business,AUDI,A5,SEDAN,44
2021,Registration New Business,AUDI,A6,SEDAN,45
2021,Registration New Business,AUDI,A6,WAGON,5
2021,Registration New Business,AUDI,A6 AVANT,WAGON,1
2021,Registration New Business,AUDI,A6-4F,SEDAN,1
2021,Registration New Business,AUDI,A6-C5,SEDAN,2
2021,Registration New Business,AUDI,A6-C6,SEDAN,5
2021,Registration New Business,AUDI,A6-C7,SEDAN,5
2021,Registration New Business,AUDI,A7,HATCHBACK,10
2021,Registration New Business,AUDI,A7,SEDAN,3
2021,Registration New Business,AUDI,A8,SEDAN,8
2021,Registration New Business,AUDI,ALLROAD,WAGON,8
2021,Registration New Business,AUDI,B5,SEDAN,1
2021,Registration New Business,AUDI,E-TRON,WAGON,8
2021,Registration New Business,AUDI,Q2,WAGON,128
2021,Registration New Business,AUDI,Q3,HATCHBACK,10
2021,Registration New Business,AUDI,Q3,WAGON,476
2021,Registration New Business,AUDI,Q5,WAGON,414
2021,Registration New Business,AUDI,Q7,WAGON,230
2021,Registration New Business,AUDI,Q8,WAGON,13
2021,Registration New Business,AUDI,QUATTRO (IMPORT),SEDAN,2
2021,Registration New Business,AUDI,R8,CONVERTIBLE,1
2021,Registration New Business,AUDI,R8,COUPE,12
2021,Registration New Business,AUDI,RS Q3,WAGON,67
2021,Registration New Business,AUDI,RS Q8,WAGON,14
2021,Registration New Business,AUDI,RS3,HATCHBACK,18
2021,Registration New Business,AUDI,RS3,SEDAN,19
2021,Registration New Business,AUDI,RS4,SEDAN,1
2021,Registration New Business,AUDI,RS4,WAGON,5
2021,Registration New Business,AUDI,RS4 AVANT,WAGON,1
2021,Registration New Business,AUDI,RS5,COUPE,11
2021,Registration New Business,AUDI,RS5,HATCHBACK,7
2021,Registration New Business,AUDI,RS6,WAGON,6
2021,Registration New Business,AUDI,RS7,HATCHBACK,8
2021,Registration New Business,AUDI,S1,HATCHBACK,1
2021,Registration New Business,AUDI,S3,CONVERTIBLE,4
2021,Registration New Business,AUDI,S3,HATCHBACK,28
2021,Registration New Business,AUDI,S3,SEDAN,36
2021,Registration New Business,AUDI,S4,CONVERTIBLE,1
2021,Registration New Business,AUDI,S4,SEDAN,10
2021,Registration New Business,AUDI,S4,WAGON,6
2021,Registration New Business,AUDI,S5,CONVERTIBLE,2
2021,Registration New Business,AUDI,S5,COUPE,11
2021,Registration New Business,AUDI,S5,HATCHBACK,15
2021,Registration New Business,AUDI,S6,SEDAN,3
2021,Registration New Business,AUDI,S7,HATCHBACK,3
